follower_user_id,following_user_id
31017,870
31017,26362
31017,10748
31017,92470
31017,193
31017,103184
31017,111607
31017,10507
31017,7007
31017,42751
31017,4557
31017,131069
31017,228070
31017,44839
354646,218
98746,217
234590,79850
9218,6498
192517,4484
43274,67838
27629,4815
1906,5
310447,1641
310447,340157
11056,140498
11056,546
11056,130692
128290,81362
354747,218
9262,112076
9262,2081
9262,69221
9262,79634
9262,29181
9262,9782
9262,8843
9262,62643
9262,1061
9262,4324
337647,58685
337647,2081
337647,364069
337647,11892
337647,37275
337647,827
337647,7948
196937,4248
326243,18942
98939,26817
98939,2
196937,241639
196937,2081
196937,7089
410643,31017
410643,2298
410643,13200
73028,269247
231574,22477
231574,24658
231574,258346
405249,31017
248,69221
11090,15893
267243,21221
354458,31017
6118,4074
6118,72708
6118,1684
6118,35
6118,225925
6118,11868
6118,8843
6118,827
6118,9445
354747,31017
145393,237968
84400,344466
84400,15692
487,19260
2908,1
35909,16055
15893,58913
15893,405249
15893,440214
15893,6992
15893,30456
15893,6118
15893,163254
23917,6206
322155,83700
301541,103184
9239,104869
410643,105600
105600,7976
105600,31634
105600,29837
105600,88592
105600,52445
105600,410643
105600,193940
105600,11788
36894,4248
174927,9262
193940,69221
223651,7
163208,13151
163208,1166
163208,163254
163208,1
163208,364
2908,87559
50837,2081
50837,196937
50837,8319
117049,410643
16004,559
15709,655
196937,8656
98746,15893
405249,225925
127,344466
440214,277770
103109,32204
69,11926
11926,69
417407,85553
417407,277847
90702,1644
202931,239747
174927,38
152820,16056
29671,225925
29671,262071
29671,11126
35370,225925
35370,234457
369759,117049
183230,31017
291010,4324
341418,6411
341418,143067
291010,79850
28220,372346
28220,175906
410643,117049
262071,29302
262071,20
262071,79850
262071,4248
15893,27629
15893,161257
15893,15868
15893,303
15893,159906
117049,72708
43068,36143
207656,55
207656,18942
207656,546
15893,197073
15893,52313
15893,148862
15893,608
15893,185872
15893,33606
4557,94721
1894,8660
1894,58913
1894,37793
15893,71397
15893,73028
15893,241639
15893,20778
15893,81039
15893,3149
132446,10713
42628,103184
104920,268898
104920,14206
410643,4248
135873,787
135873,8660
135873,15272
135873,67838
135873,163254
135873,72708
135873,239747
135873,2081
135873,151665
135873,344466
135873,8412
135873,239385
135873,946
135873,88385
135873,24323
135873,22891
135873,136994
135873,10099
135873,8319
135873,47518
135873,151696
354458,15893
202931,105600
277847,787
277847,241639
277847,2514
277847,934
277847,42541
277847,2877
277847,4815
277847,196937
277847,22891
277847,119
277847,843
277847,47518
251686,18280
364546,277847
15893,21106
15893,241778
15893,22196
74715,827
74715,26
74715,58
354747,15893
74715,787
74715,94721
74715,11417
74715,72708
74715,1604
74715,71397
74715,16960
74715,239747
74715,2081
74715,151665
74715,8412
74715,10047
74715,20982
74715,85553
74715,239385
74715,1684
74715,131114
74715,4849
74715,43907
74715,144770
74715,103184
74715,946
74715,234457
74715,30456
74715,186665
74715,1880
74715,21568
74715,2451
74715,2672
74715,49704
74715,4248
74715,4557
74715,10099
74715,8319
74715,47518
74715,131069
74715,151696
74715,5754
74715,24823
74715,18280
74715,9758
74715,852
4827,291010
103184,107456
103184,239747
103184,31017
103184,196937
103184,118844
103184,946
103184,133
103184,234457
103184,57961
103184,1880
103184,55173
